1,2,3,4,5
0.128348,0.128906,0.128348,0.128348,0.100751
0.12221,0.12221,0.121652,0.121652,0.095495
0.113281,0.113281,0.112723,0.112723,0.088485
0.115513,0.116071,0.115513,0.115513,0.090676
0.118862,0.11942,0.118862,0.118862,0.093304
0.126116,0.126674,0.126116,0.126116,0.098999
0.132254,0.132813,0.132254,0.132254,0.103817
0.137835,0.138393,0.137835,0.137835,0.108198
0.145089,0.145647,0.145089,0.145089,0.113892
0.158482,0.15904,0.158482,0.158482,0.124405
0.160714,0.161272,0.160714,0.160714,0.126158
0.157366,0.157366,0.156808,0.156808,0.123091
0.152902,0.152902,0.152344,0.152344,0.119587
0.154018,0.155134,0.154018,0.154018,0.120901
0.151228,0.151228,0.15067,0.15067,0.118273
0.144531,0.144531,0.143973,0.143973,0.113016
0.138393,0.138393,0.137835,0.137835,0.108198
0.135603,0.135603,0.135045,0.135045,0.106008
0.142299,0.142857,0.142299,0.142299,0.111702
0.142299,0.142299,0.141183,0.141183,0.110826
0.136719,0.136719,0.136161,0.136161,0.106884
0.136719,0.137277,0.136719,0.136719,0.107322
0.139509,0.140625,0.139509,0.139509,0.109512
0.138951,0.138951,0.138393,0.138393,0.108636
0.146763,0.147321,0.146763,0.146763,0.115206
0.142857,0.142857,0.142299,0.142299,0.111702
0.145089,0.146205,0.145089,0.145089,0.113892
0.146763,0.147879,0.146763,0.146763,0.115206
0.146763,0.147321,0.146205,0.146205,0.114768
0.144531,0.144531,0.143973,0.143973,0.113016
0.143973,0.143973,0.142857,0.142857,0.11214
0.138951,0.138951,0.138393,0.138393,0.108636
0.133929,0.133929,0.133371,0.133371,0.104694
0.127232,0.127232,0.126116,0.126116,0.098999
0.11942,0.11942,0.118862,0.118862,0.093304
0.123326,0.123884,0.123326,0.123326,0.096809
0.12779,0.128348,0.12779,0.12779,0.100313
0.12779,0.128906,0.12779,0.12779,0.100313
0.128348,0.128906,0.128348,0.128348,0.100751
0.122768,0.122768,0.121652,0.121652,0.095495
0.121652,0.12221,0.121652,0.121652,0.095495
