0,1,2,3,4,5,6
19096,2427.81,710,46.86,123,447,56.83
18972,6753.81,33,46.86,9,142,50.55
18831,1623.13,85,46.86,18,677,58.35
17427,4355.4,139,46.86,0,266,66.48
17061,149.62,286,46.86,0,369,3.24
17038,190.43,247,46.86,0,173,1.93
14867,93.54,50,46.86,15,775,4.88
14620,14865.73,990,46.86,71,52,52.87
14386,71.04,33,46.86,4,524,2.59
13864,17943.44,38,46.86,22,127,164.37
13731,143.97,17,46.86,0,91,0.95
13731,165.86,104,46.86,10,128,1.55
13530,13.9,2649,46.86,272,69,0.07
13469,64.43,10,46.86,0,167,0.8
13004,3270.39,66,46.86,0,328,82.49
12404,224.79,484,46.86,106,164,2.97
12364,3144.1,154,46.86,14,243,61.79
12318,7506.72,23,46.86,10,125,76.18
12199,3250.77,69,46.86,0,99,26.38
11591,1173.18,16,46.86,4,155,15.69
11108,10404.06,28,46.86,9,107,100.22
11107,518.47,184,46.86,0,329,15.36
10786,96.36,98,46.86,0,115,1.03
8781,666.01,369,46.86,53,19,1.44
8708,620.68,46,46.86,10,120,8.55
8140,67.14,0,46.86,0,103,0.85
8029,4757.22,37,46.86,15,139,82.36
7137,147.77,36,46.86,8,98,2.03
6889,23.1,26,46.86,4,1355,4.54
6630,1820.76,9,46.86,0,30,8.24
6243,94.24,158,46.86,0,189,2.85
6045,250.14,29,46.86,0,181,7.49
5469,22.59,17,46.86,0,193,0.8
5421,152.86,440,46.86,59,19,0.54
5273,44.35,236,46.86,31,8,0.07
5216,2840.54,36,46.86,5,80,43.57
5091,15000.88,0,46.86,0,90,265.19
4947,30.12,4,46.86,1,174,1.06
4879,61.16,446,46.86,63,82,1.03
4321,12825.38,9,46.86,2,94,279.01
4045,1407.57,8,46.86,4,47,16.35
3978,457.45,9,46.86,0,146,16.79
3825,194.36,22,46.86,0,69,3.51
3768,3608.33,66,46.86,0,30,28.73
3301,3062.27,27,46.86,0,69,64.01
3122,8057.4,4,46.86,0,58,149.69
3109,61.47,625,46.86,114,99,1.96
2570,5993.19,48,46.86,9,32,74.62
2549,6495.26,23,46.86,1,33,84.09
2504,4021,7,46.86,0,33,52.99
2424,6260.65,1,46.86,0,18,46.49
2363,49,10,46.86,0,26,0.54
2362,1077.76,5,46.86,0,37,16.88
2314,5985.67,86,46.86,0,26,67.25
2195,1978.55,48,46.86,1,12,10.82
2090,233.14,884,46.86,126,7,0.78
2054,28.23,44,46.86,1,3,0.04
1963,254.4,121,46.86,24,1,0.13
1820,143.11,91,46.86,20,18,1.42
1606,7678.7,13,46.86,3,17,81.28
1599,1880.47,0,46.86,0,29,34.1
1263,1289.71,0,46.86,0,42,42.89
1040,10520.99,8,46.86,0,1,10.12
827,1282.81,2,46.86,1,17,26.37
768,1571.68,11,46.86,2,1,2.05
764,,0,,0,13,
608,925.14,15,22.82,0,2,3.04
509,0.85,0,0,0,21,0.04
454,4036.99,0,0,0,7,62.24
341,641.07,154,289.52,11,1,1.88
295,975.63,0,0,0,1,3.31
255,58.29,5,1.14,0,3,0.69
191,265.31,2,2.78,0,0,0
183,317.95,0,0,0,2,3.47
161,143.08,0,0,0,1,0.89
129,45.18,1,0.35,0,0,0
109,726.57,0,0,0,0,0
63,1808.79,0,0,0,0,0
50,88.07,6,10.57,0,0,0
26,3213.84,0,0,0,0,0
26,448.66,0,0,0,0,0
20,400.08,0,0,0,1,20
20,637.15,0,0,0,0,0
20,2.91,0,0,0,0,0
7,362.13,0,0,0,0,0
4,6.76,0,0,0,0,0
3,0.98,0,0,0,0,0
1,0.5,0,0,0,0,0
