0,1,2,3,4,5
7929415.3,107747.1,87683.4,372612.6,568043.1,8497458.4
7860339.6,105935.2,87344.8,369207.3,562487.3,8422826.9
7862847,103321.9,86633.6,367371.7,557327.2,8420174.2
7822419.9,108733.9,85251.9,360865.3,554851.1,8377271
7815444.6,109473.9,84170.4,358540.6,552184.8,8367629.4
7937069.5,104035.9,83147.6,357951.3,545134.8,8482204.4
7701029.1,114560.6,83573.2,354087.8,552221.6,8253250.7
7694231.7,108506.3,82849.4,349693.8,541049.6,8235281.3
7626798.3,108406.9,81939,343722.9,534068.8,8160867.1
7646794.7,110711.5,81331.4,347507,539549.9,8186344.6
